Run,Final Fitness
1,1552489667.8048663
2,1151931636.300161
3,184742382.2918116
4,603441118.4745662
5,843218199.0720333

Mean,867164600.7886875
Std Dev,466172993.97798294
Best,184742382.2918116
Worst,1552489667.8048663
Total Time,343.349027633667
