Run,Final Fitness
1,392113872.1027337
2,507769670.202395
3,443455031.0761186
4,123144792.70883444
5,379879647.59563375

Mean,369272602.7371431
Std Dev,131070669.66101491
Best,123144792.70883444
Worst,507769670.202395
Total Time,9.971498012542725
