Run,Final Fitness
1,13430549815.70321
2,12190211214.095524
3,17861860603.717308
4,14124204192.270334
5,14530406764.63342

Mean,14427446518.08396
Std Dev,1891918691.3163562
Best,12190211214.095524
Worst,17861860603.717308
Total Time,10.924869537353516
