Run,Final Fitness
1,2804.6531268996205
2,2798.9714411039095
3,2805.8487911001466
4,2820.971127478789
5,2816.2963776965703

Mean,2809.348172855807
Std Dev,8.066428152912541
Best,2798.9714411039095
Worst,2820.971127478789
Total Time,44.039024114608765
