Run,Final Fitness
1,19111.093405289077
2,13923.614246622385
3,10169.94984681602
4,5851.897192978395
5,9739.972414095342

Mean,11759.305421160243
Std Dev,4477.370839344578
Best,5851.897192978395
Worst,19111.093405289077
Total Time,14.693557977676392
