Run,Final Fitness
1,3205.99641859197
2,3193.8338729426187
3,3362.456768368964
4,3207.2627914106206
5,3223.064808745913

Mean,3238.522932012017
Std Dev,62.659128361719645
Best,3193.8338729426187
Worst,3362.456768368964
Total Time,47.768922090530396
