Run,Final Fitness
1,4524187.785037627
2,3834456.561052136
3,747105.6068862036
4,8327942.87816751
5,4916045.867817674

Mean,4469947.73979223
Std Dev,2422786.602029163
Best,747105.6068862036
Worst,8327942.87816751
Total Time,65.34269833564758
