Run,Final Fitness
1,3393.3027641284416
2,3468.256904465219
3,3391.766612893968
4,3384.4999922227726
5,3455.798016895025

Mean,3418.724858121085
Std Dev,35.69933896017918
Best,3384.4999922227726
Worst,3468.256904465219
Total Time,57.940186738967896
