Run,Final Fitness
1,3693.0140974905694
2,3370.2939654463858
3,3303.085293861519
4,3612.340276178517
5,3690.5776687810894

Mean,3533.862260351616
Std Dev,164.96085646760181
Best,3303.085293861519
Worst,3693.0140974905694
Total Time,75.04169344902039
