Run,Final Fitness
1,1300.000361696695
2,1300.000042324213
3,1300.0000416056498
4,1300.0000195719217
5,1300.000000531886

Mean,1300.0000931460731
Std Dev,0.0001351660140015864
Best,1300.000000531886
Worst,1300.000361696695
Total Time,43.9443302154541
