Run,Final Fitness
1,26585631674.376125
2,15322261468.081682
3,26733042779.23432
4,16360033429.428886
5,12329669550.202698

Mean,19466127780.264744
Std Dev,6020695566.119857
Best,12329669550.202698
Worst,26733042779.23432
Total Time,114.56457614898682
