Run,Final Fitness
1,3194.5503930613363
2,2995.979261234112
3,3115.3684233616327
4,3030.755095167051
5,3044.0072413309736

Mean,3076.132082831021
Std Dev,70.82081315099748
Best,2995.979261234112
Worst,3194.5503930613363
Total Time,44.89788508415222
