Run,Final Fitness
1,807.7359482805741
2,809.7079324631645
3,810.233828346523
4,810.2982950488091
5,812.7570253311927

Mean,810.1466058940526
Std Dev,1.6030353397273254
Best,807.7359482805741
Worst,812.7570253311927
Total Time,44.64054846763611
