Run,Final Fitness
1,7740719.705581234
2,3710822.109564467
3,3160219.6745748175
4,1304971.0616387418
5,3480438.378868518

Mean,3879434.186045556
Std Dev,2109136.4793344513
Best,1304971.0616387418
Worst,7740719.705581234
Total Time,37.042346239089966
