Run,Final Fitness
1,279902488.96826535
2,736488661.567924
3,1337194036.1845915
4,1383925294.6135461
5,1079870104.6034076

Mean,963476117.187547
Std Dev,412016107.5224578
Best,279902488.96826535
Worst,1383925294.6135461
Total Time,43.792054891586304
